,과 목,제57기,제56기,제55기
0,Ⅰ. 영업활동 현금흐름,-48476820400450,-5355026694170,-395456791760
1,1. 영업활동에서 창출된 현금흐름,-55007277560110,-9990813426770,-4846741890870
2,가. 당기순이익(손실),2353421215130,-4302673720,2795515166940
3,나. 손익조정사항,-3803807687860,-1924498914200,-5956372804270
4,다. 자산부채의 증감,-53556891087380,-8062011838850,-1685884253540
5,2. 이자의 수취,8209524162070,6620555007810,6496744708580
6,3. 이자의 지급,-2044109347910,-1731264358420,-1879514022240
7,4. 배당금 수취,586572344640,381833966900,407429460370
8,5. 법인세 납부액,-221529999140,-635337883690,-573375047600
9,Ⅱ. 투자활동 현금흐름,-1416027326040,-5842946521620,-1146879516550
10,1. 장기성예금의 증감,754767000000,3944140000000,6086661203380
11,2. 매도가능금융자산의 취득,-26023476649630,-30203420724580,-22282017558860
12,3. 매도가능금융자산의 처분,21615672741560,20434356647400,14932511541320
13,4. 만기보유금융자산의 취득,-0,-8987400000,-8915400000
14,5. 만기보유금융자산의 처분,100085000000,24605958690,8311553240
15,6. 관계기업투자의 취득,-309500000000,-280000000000,-19250000000
16,7. 관계기업투자의 처분,242443880000,282500000000,9582500000
17,8. 종속기업취득 순현금유출,-370329452540,-0,-15396200000
18,9. 종속기업처분 순현금유출입,244518846440,-31282780120,127641182850
19,10. 합병으로 인한 순현금유입,-0,71410789290,-0
20,11. 유형자산의 취득,-322011972410,-52142418420,-34658142460
21,12. 유형자산의 처분,256236623930,165229620,2995154550
22,13. 무형자산의 취득,-23012990270,-38753141470,-17996671120
23,14. 무형자산의 처분,35487816190,16202067970,32707000000
24,15. 투자부동산의 취득,-0,-1740750000,-84195570180
25,16. 투자부동산의 처분,36211400000,-0,115139890730
26,17. 매각예정비유동자산의 처분,2346880430690,-0,-0
27,Ⅲ. 재무활동 현금흐름,50224842755960,10009102145930,-1239944775610
28,1. 차입부채의 증감,50216941915960,8287026983210,-1114060637260
29,2. 임대보증금의 증감,7900840000,-17292015800,-15936156350
30,3. 배당금의 지급,-0,-1099481915000,-109947982000
31,4. 자기주식의 처분,-0,-12476298970,-0
32,5. 자기주식의 처분,-0,1071487266990,-0
33,6. 유상증자,-0,1779838125500,-0
34,Ⅳ. 외화표시 현금및현금성자산의 환율변동효과,-10428831900,37857172430,7104825050
35,Ⅴ. 현금및현금성자산의 순증감(Ⅰ+Ⅱ+Ⅲ+Ⅳ),321566197570,-1151013897430,-2775176258870
36,Ⅵ. 기초 현금및현금성자산,2796469453270,3947483350700,6722659609570
37,Ⅶ. 기말 현금및현금성자산,3118035650840,2796469453270,3947483350700
