,과 목,주 석,제 18(당)기,제 17(전)기
0,자 산,nan0,nan0,nan0
1,I. 현금및예치금,"4, 39, 400",55688844034220,86186914647600
2,II. 당기손익-공정가치측정금융자산,"5, 39, 400",338138339328440,280164378397460
3,III. 파생금융상품자산,"18, 39, 400",8463220457730,4135143567190
4,IV. 기타포괄손익-공정가치측정금융자산,"6, 39, 400",26133945439200,40135977671270
5,V. 상각후원가측정금융자산,"7, 39, 400",119958882560770,195494478826120
6,VI. 관계기업투자,80,22915821332580,10555766336060
7,VII. 유형자산,"9, 120",3866742363730,3344947288440
8,VIII. 무형자산,100,1017190358000,1682105385050
9,IX. 투자부동산,110,1559986613970,1583702454360
10,X. 당기법인세자산,nan0,34384470460,26229936680
11,XI. 이연법인세자산,nan0,2247047350,3722293570
12,XII. 상각후원가측정기타금융자산,"13, 38, 39, 400",29594911715590,15915726709510
13,XIII. 기타비금융자산,"14, 380",288598229740,807647174140
14,자 산 총 계,nan0,607663113951780,640036740687450
15,부 채,nan0,nan0,nan0
16,I. 예수부채,"15, 39, 400",65900428205120,170629914389320
17,II. 당기손익-공정가치측정금융부채,"16, 39, 400",39854710168820,28989489430310
18,III. 파생금융상품부채,"18, 39, 400",9539760825170,12212732990630
19,IV. 당기손익-공정가치측정지정금융부채,"17, 39, 400",139534869126640,123334575669710
20,V. 차입부채,"19, 39, 400",252601109443150,224341020434380
21,VI. 확정급여부채,200,122613230280,86350049070
22,VII. 충당부채,210,196825706840,596084362610
23,VIII. 당기법인세부채,240,887739930350,729744372520
24,IX. 이연법인세부채,240,535037575120,190202479710
25,X. 기타금융부채,"22, 38, 39, 400",46781507941750,28901196223120
26,XI. 기타비금융부채,230,1378754573160,1046153454410
27,부 채 총 계,nan0,557333356726400,591057463855790
28,자 본,nan0,nan0,nan0
29,I. 지배기업주주지분,nan0,50036916334060,43166323876600
30,1. 자본금,250,3079212150000,3079212150000
31,2. 자본잉여금,250,6147560593560,6147560593560
32,3. 자본조정,250,"(50,142,077,042)0","(50,142,077,042)0"
33,4. 기타포괄손익누계액,"25, 330",1120158724660,1642510846660
34,5. 이익잉여금,250,40191405636260,32798461056800
35,II. 비지배지분,nan0,292840891320,5812952955060
36,자 본 총 계,nan0,50329757225380,48979276831660
37,부 채 및 자 본 총 계,nan0,607663113951780,640036740687450
38,I. 영업수익,nan0,107713243410570,84520622521360
39,1. 수수료수익,"26, 380",9805707496930,9313072610700
40,2. 이자수익,"27, 380",14001076645230,11561939109530
41,(1) 유효이자율법으로 인식하는 이자수익,nan0,8091540110710,6653377100890
42,(2) 기타 이자수익,nan0,5909536534520,4908562008640
43,3. 배당금수익,280,633242553930,527909025110
44,4. 금융자산(부채)평가및처분이익,"29, 380",73691850212180,58109442694800
45,5. 외환거래이익,nan0,8925844456860,4329487593570
46,6. 기타영업수익,300,655522045440,678771487650
47,II. 영업비용,nan0,"(9,829,540,606,935)0","(7,809,392,523,432)0"
48,1. 수수료비용,260,"(172,434,750,231)0","(158,193,570,391)0"
49,2. 이자비용,270,"(581,056,540,372)0","(451,899,515,121)0"
50,3. 금융자산(부채)평가및처분손실,"29, 380","(7,149,606,043,286)0","(5,853,713,902,875)0"
51,4. 신용손실충당금 전입액,290,"(52,245,610,494)0","(50,222,945,876)0"
52,5. 외환거래손실,nan0,"(941,401,938,399)0","(492,477,478,398)0"
53,6. 판매비와관리비,"31, 380","(908,768,633,887)0","(780,463,690,306)0"
54,7. 기타영업비용,300,"(24,027,090,266)0","(22,421,420,465)0"
55,III. 영업이익,nan0,9417837341220,6426697287040
56,IV. 영업외수익,320,1645738111070,1168590878170
57,V. 영업외비용,320,"(44,749,405,891)0","(25,004,116,038)0"
58,VI. 법인세비용차감전계속영업순이익,nan0,10616081393380,7345247004830
59,VII. 계속영업법인세비용,240,"(302,492,832,478)0","(197,623,119,832)0"
60,VIII. 계속영업당기순이익,nan0,7591153068600,5369015806510
61,IX. 중단영업이익(손실),460,880538096350,"(20,954,565,783)0"
62,X. 당기순이익,nan0,8471691164950,5159470148680
63,XI. 기타포괄손익,nan0,"(47,344,491,687)0",164824140190
64,1. 후속적으로 당기손익으로 재분류 될 수 있는 포괄손익,nan0,291655945390,258005494320
65,(1) 기타포괄손익-공정가치로 측정하는 채무상품 - 공정가치 변동,nan0,54388898210,96495450840
66,(2) 지분법자본변동,nan0,"(1,102,501,838)0","(430,234,793)0"
67,(3) 외환차이,nan0,248292065560,165812391410
68,2. 후속적으로 당기손익으로 재분류 될 수 없는 포괄손익,nan0,"(76,510,086,226)0","(9,318,135,413)0"
69,(1) 기타포괄손익-공정가치로 측정하는 지분상품 - 공정가치 변동,nan0,"(73,640,859,204)0","(5,483,848,319)0"
70,(2) 확정급여부채 재측정요소,nan0,"(2,072,723,416)0","(3,834,287,094)0"
71,(3) 당기손익-공정가치측정지정금융부채 신용위험 변동,nan0,"(796,503,606)0",-0
72,XII. 당기총포괄손익,nan0,7998246248080,5324294288870
73,1. 당기순이익의 귀속,nan0,8471691164950,5159470148680
74,(1) 지배기업주주지분순이익,nan0,8451732451650,5295559480340
75,(2) 비지배지분순손익,nan0,19958713300,"(13,608,933,166)0"
76,2. 당기총포괄이익의 귀속,nan0,7998246248080,5324294288870
77,(1) 지배기업주주지분총포괄이익,nan0,7929380329650,5456345445420
78,(2) 비지배지분총포괄손익,nan0,68865918430,"(13,205,115,655)0"
79,XIII. 주당이익,nan0,nan0,nan0
80,1. 계속영업과 중단영업의 기본 및 희석주당이익,nan0,nan0,nan0
81,(1) 보통주,340,144670,90620
82,(2) 1종 종류주식,340,145280,91240
83,2. 계속영업의 기본 및 희석주당이익,nan0,nan0,nan0
84,(1) 보통주,340,130410,91870
85,(2) 1종 종류주식,340,131020,92490
