,과 목,제59기,제58기,제57기
0,Ⅰ. 영업활동 현금흐름,7316971302880,-30792332091340,-48476820400450
1,1. 영업활동에서 창출된 현금흐름,2649412501710,-36457154827060,-55007277560110
2,가. 당기순이익,2900710035070,1896759997380,2353421215130
3,나. 손익조정사항,-6997806149290,-5095841539100,-3803807687860
4,다. 자산부채의 증감,6746508615930,-33258073285340,-53556891087380
5,2. 이자의 수취,8456944920680,8239738605760,8209524162070
6,3. 이자의 지급,-3069325022910,-2766863684340,-2044109347910
7,4. 배당금 수취,319634608390,902869068930,586572344640
8,5. 법인세 납부액,-1039695704990,-710921254630,-221529999140
9,Ⅱ. 투자활동 현금흐름,-22964323059580,-6555060004420,-1416027326040
10,1. 장기성예금의 증감,-16718997330410,-7478774087340,754767000000
11,2. 매도가능금융자산의 취득,-0,-0,-26023476649630
12,3. 매도가능금융자산의 처분,-0,-0,21615672741560
13,4. 기타포괄손익-공정가치측정 금융자산의 취득,-48829939560300,-33703706490130,-0
14,5. 기타포괄손익-공정가치측정 금융자산의 처분,47592398373760,39940661087630,-0
15,6. 만기보유금융자산의 처분,-0,-0,100085000000
16,7. 관계기업투자의 취득,-226087520000,-416071822600,-309500000000
17,8. 관계기업투자의 처분,11756649780,34525668340,242443880000
18,9. 종속기업취득 순현금유출,-0,-0,-370329452540
19,10. 종속기업처분 순현금유출입,205969288410,842978430690,244518846440
20,11. 유형자산의 취득,-130000382470,-394956085160,-322011972410
21,12. 유형자산의 처분,119763469960,1029531590,256236623930
22,13. 무형자산의 취득,-240642933060,-114325534290,-23012990270
23,14. 무형자산의 처분,58824080000,44294780280,35487816190
24,15. 투자부동산의 취득,-5744849582250,-5298026966100,-0
25,16. 투자부동산의 처분,942066775290,-0,36211400000
26,17. 복구충당부채의 감소,-4584388290,-12688517330,-0
27,18. 매각예정비유동자산의 처분,-0,-0,2346880430690
28,Ⅲ. 재무활동 현금흐름,16024729320040,37814834976490,50224842755960
29,1. 차입부채의 증감,15966852114870,39092729373720,50216941915960
30,2. 임대보증금의 증감,37016831220,113676778610,7900840000
31,3. 배당금의 지급,-500000000000,-1391571175840,-0
32,4. 리스부채의 감소,-202826770880,-0,-0
33,5. 유상증자,1302153600,-0,-0
34,6. 기타부채의 증감,722384991230,-0,-0
35,Ⅳ. 외화표시 현금및현금성자산의 환율변동효과,-3910395740,-1240651270,-10428831900
36,Ⅴ. 현금및현금성자산의 순증감(Ⅰ+Ⅱ+Ⅲ+Ⅳ),373467167600,466202229460,321566197570
37,Ⅵ. 기초 현금및현금성자산,3584237880300,3118035650840,2796469453270
38,Ⅶ. 기말 현금및현금성자산,3957705047900,3584237880300,3118035650840
